189	108	1,3,7,9,21,27,63,189
190	72	1,2,5,10,19,38,95,190
191	190	1,191
192	64	1,2,3,4,6,8,12,16,24,32,48,64,96,192
193	192	1,193
194	96	1,2,97,194
195	96	1,3,5,13,15,39,65,195
196	84	1,2,4,7,14,28,49,98,196
197	196	1,197
198	60	1,2,3,6,9,11,18,22,33,66,99,198
199	198	1,199
200	80	1,2,4,5,8,10,20,25,40,50,100,200
201	132	1,3,67,201
202	100	1,2,101,202
203	168	1,7,29,203
204	64	1,2,3,4,6,12,17,34,51,68,102,204
205	160	1,5,41,205
206	102	1,2,103,206
207	132	1,3,9,23,69,207
208	96	1,2,4,8,13,16,26,52,104,208
209	180	1,11,19,209
210	48	1,2,3,5,6,7,10,14,15,21,30,35,42,70,105,210
211	210	1,211
212	104	1,2,4,53,106,212
213	140	1,3,71,213
214	106	1,2,107,214
215	168	1,5,43,215
216	72	1,2,3,4,6,8,9,12,18,24,27,36,54,72,108,216
217	180	1,7,31,217
218	108	1,2,109,218
219	144	1,3,73,219
220	80	1,2,4,5,10,11,20,22,44,55,110,220
221	192	1,13,17,221
222	72	1,2,3,6,37,74,111,222
223	222	1,223
224	96	1,2,4,7,8,14,16,28,32,56,112,224
225	120	1,3,5,9,15,25,45,75,225
226	112	1,2,113,226
227	226	1,227
228	72	1,2,3,4,6,12,19,38,57,76,114,228
229	228	1,229
230	88	1,2,5,10,23,46,115,230
231	120	1,3,7,11,21,33,77,231
232	112	1,2,4,8,29,58,116,232
233	232	1,233
234	72	1,2,3,6,9,13,18,26,39,78,117,234
235	184	1,5,47,235
236	116	1,2,4,59,118,236
237	156	1,3,79,237
238	96	1,2,7,14,17,34,119,238
239	238	1,239
240	64	1,2,3,4,5,6,8,10,12,15,16,20,24,30,40,48,60,80,120,240
241	240	1,241
242	110	1,2,11,22,121,242
243	162	1,3,9,27,81,243
244	120	1,2,4,61,122,244
245	168	1,5,7,35,49,245
246	80	1,2,3,6,41,82,123,246
247	216	1,13,19,247
248	120	1,2,4,8,31,62,124,248
249	164	1,3,83,249
250	100	1,2,5,10,25,50,125,250
251	250	1,251
252	72	1,2,3,4,6,7,9,12,14,18,21,28,36,42,63,84,126,252
253	220	1,11,23,253
254	126	1,2,127,254
255	128	1,3,5,15,17,51,85,255
256	128	1,2,4,8,16,32,64,128,256
257	256	1,257
258	84	1,2,3,6,43,86,129,258
259	216	1,7,37,259
260	96	1,2,4,5,10,13,20,26,52,65,130,260
261	168	1,3,9,29,87,261
262	130	1,2,131,262
263	262	1,263
264	80	1,2,3,4,6,8,11,12,22,24,33,44,66,88,132,264
265	208	1,5,53,265
266	108	1,2,7,14,19,38,133,266
267	176	1,3,89,267
268	132	1,2,4,67,134,268
269	268	1,269
270	72	1,2,3,5,6,9,10,15,18,27,30,45,54,90,135,270
271	270	1,271
272	128	1,2,4,8,16,17,34,68,136,272
273	144	1,3,7,13,21,39,91,273
274	136	1,2,137,274
275	200	1,5,11,25,55,275
276	88	1,2,3,4,6,12,23,46,69,92,138,276
277	276	1,277
278	138	1,2,139,278
279	180	1,3,9,31,93,279
280	96	1,2,4,5,7,8,10,14,20,28,35,40,56,70,140,280
281	280	1,281
282	92	1,2,3,6,47,94,141,282
283	282	1,283
284	140	1,2,4,71,142,284
285	144	1,3,5,15,19,57,95,285
286	120	1,2,11,13,22,26,143,286
287	240	1,7,41,287
288	96	1,2,3,4,6,8,9,12,16,18,24,32,36,48,72,96,144,288
289	272	1,17,289
290	112	1,2,5,10,29,58,145,290
291	192	1,3,97,291
292	144	1,2,4,73,146,292
293	292	1,293
294	84	1,2,3,6,7,14,21,42,49,98,147,294
295	232	1,5,59,295
296	144	1,2,4,8,37,74,148,296
297	180	1,3,9,11,27,33,99,297
298	148	1,2,149,298
299	264	1,13,23,299
